ID,EYES,MOUTH,HAIR,BODY,FRONT,BACK,SYMBOL,INTERFACE,CLOTHING,ACCESSORIES,SKYBACK,SOLIDBACK,SKY,SCAPE,SCENE,TRIBE,REOLM,1/1 Trait,ONE_TAG,CCO,DEPTH
7988,Third Eye,Tongue Out,Long Layered,EL02,EL02,-,C,OFF,Gradient Tee,Bullish Earrings,Morning,White,Morning,-,-,Elvrem,UnderReolm,-,-,Private,Sky
7989,Charming,Lollipop,White Bucket Hat,EL03,EL03,-,C,Level1,Beige Coat,Crescent Earrings,Morning,Black,Morning,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
7990,Satisfied,Naive,Short Ponytail,OR01,OR01,-,R,OFF,Yellow Jumpsuit,Red Snake,Afternoon,Red,Afternoon,Stars,-,Orcrem,UnderReolm,-,-,Private,Sky + Scape
7991,Samurai,Dental Braces,Low Braid,DE01,DE01,-,C,Level4,Black Bodysuit,Golden Fire Ear Cuff,Night,White,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
7992,Rolling,Tongue Out,Blue Sun Hat,UN01,UN01,-,-,Level1,Red Drive-Thru Shirt,Bullish Earrings,Morning,Red,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
7993,-,Bored,Long,UN01,UN01,-,-,OFF,Black Vest,Trinoculars,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
7994,Blink,Tricky,Jelly,DR03,-,-,C,OFF,Op Art Turtleneck,Golden Elf Ear Cuffs,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
7995,Satisfied,Dog,Curly,HU03,-,-,-,Level1,Roremu Tee,Golden Frame Glasses,Night,White,Night,-,-,Hurem,MiddleReolm,-,-,Private,Sky
7996,Monk,Biting Tongue,Fuzz,HU03,-,-,-,Level1,Laser Suit,Headphone,Afternoon,White,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
7997,Shut,Tongue Out,Red Bandana,SO02,-,SO02,-,Level3,Green Vest,Golden Cross Earrings,Evening,Red,Evening,Skyscape,Balcony,Soulrem,UpperReolm,-,-,Private,Sky + Scape + Scene
7998,One Eye,Yummy,Double Bun,OR02,OR02,-,C,Level2,Bullish Tank Top,Plasters,Night,Black,Night,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
7999,Panda,Orc,Blue Sun Hat,DR03,-,-,-,Level1,White Turtleneck,Fire Sunglasses,Evening,Black,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8000,Curious,Frown,Bowl Cut,GA02,GA02,GA02,R,Level3,Red Bear Tee,Eye Patch,Afternoon,Red,Afternoon,Skyscape,Temple,Galarem,UpperReolm,-,-,Private,Sky + Scape + Scene
8001,-,Smiling,Two-Tone Middle Part,UN02,UN02,-,-,Level4,Gas Tee,Interface Headset,Morning,Red,Morning,Stars,Balcony,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8002,-,Frown,Long Wavy,UN01,UN01,-,C,Level2,Black Turtleneck,White Blindfold,Morning,Black,Morning,Mountain,-,Undrem,MiddleReolm,-,-,Private,Sky + Scape
8003,Sweet,Dot,Messy Bun,DE02,DE02,-,T,OFF,Student Shirt,Golden Cross Earrings,Evening,Red,Evening,Valley,-,Devrem,UnderReolm,-,-,Private,Sky + Scape
8004,Laughing,Modeling,Long Layered,HU02,-,-,T,Level1,Abstract Tee,Nose-to-Ear Chain,Night,Black,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8005,-,Frown,Buddha Bun,UN02,UN02,-,R,Level5,Black Turtleneck,Ancient Sunglasses,Morning,Purple,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Sky
8006,Dead,Sick,Long Layered,HU01,-,-,-,OFF,Bullish Tee,Bullish Earrings,Evening,White,Evening,Statue,Temple,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8007,Blink,Smoke,-,BA02,-,-,T,OFF,-,-,Afternoon,Red,Afternoon,Canyon,-,Forbidrem,ReReolm,-,-,Private,Sky + Scape
8008,X X,Lollipop,Purple Knit Hat,OR03,OR03,-,-,OFF,Student Shirt,-,Night,Black,Night,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8009,Panda,Porcelain Lips,Undercut,UN01,UN01,-,C,Level3,Micrapple Tee,Plaster,Afternoon,Red,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8010,Narrow,-,Braids,DR03,-,-,-,Level2,Yellow Tee,Lightning Mask,Evening,Purple,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8011,Baka,Chili Pepper,Braids,UN02,UN02,-,C,Level2,Pink Suit,Golden Safety Pin Earrings,Evening,White,Evening,Mountain,Dump,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8012,-,Modeling,Red Beanie,UN02,UN02,-,-,Level1,80s Jacket,White Blindfold,Afternoon,Red,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8013,Happy,Star Stamp,Yellow Cloth Cap,SO01,-,SO01,-,OFF,Student Shirt,Minimal Tattoos,Morning,Purple,Morning,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8014,-,Lollipop,Buzz,UN02,UN02,-,R,OFF,Purple Sweater,90s Sunglasses,Night,Red,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8015,Baka,Kiss,Gradient Bob,UN03,UN03,-,R,Level1,Laser Suit,Scars,Morning,Red,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8016,Beautiful,Eh,Ponytail,DR01,-,-,-,Level3,Red Vest,Golden Snake Earrings,Night,Red,Night,Stars,Balcony,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8017,Samurai,Blow,Bandage,DE03,DE03,-,-,Level1,Pink Suit,Golden Frame Glasses,Night,Purple,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8018,Blink,-,Gradient Bob,SO01,-,SO01,-,Level2,Classic School Uniform,Black Mask,Afternoon,Purple,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8019,Monk,Orc,Middle Part,DE01,DE01,-,-,Level1,Red Bear Tee,Golden Lightning Ear Cuff,Afternoon,Purple,Afternoon,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8020,Smart,Lip Ring,Chignon,DE01,DE01,-,T,Level3,SEAW WA Tee,Rocker Sunglasses,Evening,Black,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8021,Fighter,Tongue Piercing,Long Spike,UN01,UN01,-,-,OFF,Red Drive-Thru Shirt,Golden Safety Pin Earrings,Morning,Red,Morning,Skyscape,-,Undrem,MiddleReolm,-,-,Private,Sky + Scape
8022,White,Buck Teeth,-,BA02,-,-,-,Level2,-,-,Night,Black,Night,Stars,-,Forbidrem,ReReolm,-,-,Private,Sky + Scape
8023,Third Eye,Toast,Spike,SO01,-,SO01,T,Level3,STW.WTS Tee,Tiny Sunglasses,Evening,Red,Evening,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8024,Naive,Bored,Cropped,UN02,UN02,-,-,OFF,Unbuttoned Student Shirt,Eye Patch,Afternoon,Black,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8025,Narrow,Bored,Chignon,DR02,-,-,R,OFF,White Robe,Clown Nose,Night,Red,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
8026,Naive,Chubby,Fuzz,SO02,-,SO02,-,Level2,3Land Hoodie,Butterflies,Afternoon,Red,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8027,-,Shocked,Low Braid,HU02,-,-,C,Level4,Yellow Drive-Thru Shirt,VR Headset,Evening,White,Evening,Skyscape,Balcony,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8028,Tricky,Kiss,Bandage,DR03,-,-,C,Level5,Blue Haori Jacket,Heart Eye Patch,Evening,White,Evening,Canopy,Downtown,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8029,White,Frantic,Red Bandana,UN01,UN01,-,-,Level2,White Turtleneck,Stars Earrings,Evening,Black,Evening,Stars,City,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8030,Angry,Biting Tongue,Gradient Bob,DE01,DE01,-,C,Level1,Unbuttoned Student Shirt,Round Glasses,Night,White,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8031,Satisfied,Biting Lip,Ponytail,HU01,-,-,-,Level3,Unbuttoned Student Shirt,Minimal Tattoos,Afternoon,Red,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8032,Stitched,Chubby,Long Wavy,HU02,-,-,T,Level2,Green Turtleneck,Plaster,Afternoon,Red,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8033,Delighted,Eh,Left Over,DR02,-,-,-,OFF,Yellow Baseball Jacket,Scars,Morning,Red,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8034,Roremu,Tongue Piercing,Long Slick Back,HU01,-,-,-,Level5,Red Cheongsam,White Glasses,Evening,Purple,Evening,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8035,60s,Dental Braces,High Braid,GA03,GA03,GA03,-,OFF,Crimson Leather Jacket,Golden Fire Ear Cuff,Evening,Purple,Evening,-,-,Galarem,UpperReolm,-,-,Private,Gradient Sky
8036,Delighted,Naive,Long Bob,HU02,-,-,R,Level2,Blue Swimsuit,Golden Cross Earrings,Evening,Purple,Evening,Valley,Factory,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8037,Stitched,Frog,Blue Bandana,DE03,DE03,-,-,Level1,Bullish Jacket,Nose-to-Ear Chain,Morning,Purple,Morning,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8038,Charming,Blow,Purple Knit Hat,EL03,EL03,-,R,OFF,Colorblock Track Jacket,Minimal Tattoos,Night,Purple,Night,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
8039,Dead,-,Dreadlocks Undercut,UN03,UN03,-,-,Level3,Black Turtleneck,WAGMI Mask,Morning,Red,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8040,Out of Order,Swallowed Eye,Long Spike,DE01,DE01,-,C,OFF,GM GA GE GN Tee,Stickers,Night,White,Night,Castle,Factory,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8041,Delighted,Kiss,Dreadlocks Undercut,AN02,AN02,AN02,-,OFF,White Turtleneck,Nose-to-Ear Chain,Evening,Red,Evening,Skyscape,Temple,Angrem,UpperReolm,-,-,Private,Sky + Scape + Scene
8042,-,Chili Pepper,Curly,HU02,-,-,-,OFF,Yellow Baseball Jacket,Ancient Sunglasses,Morning,Red,Morning,Canyon,-,Hurem,MiddleReolm,-,-,Private,Sky + Scape
8043,Hypnotized,Oh,Long Layered,UN01,UN01,-,-,Level4,Bandage,Plaster,Afternoon,Purple,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8044,Panda,Orc,Double Bun,HU03,-,-,-,OFF,Cloud Sweater,Golden Fire Ear Cuff,Afternoon,White,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8045,-,Lollipop,Two-Tone Middle Part,UN01,UN01,-,-,Level4,Blue-Check Tee,Black Blindfold,Afternoon,Purple,Afternoon,-,-,Undrem,MiddleReolm,-,-,Private,Sky
8046,Closed,Lip Ring,Spike,DR01,-,-,C,Level2,Green Vest,Scars,Night,White,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
8047,Roremu,Smiling,Short Punk Mullet,UN03,UN03,-,-,OFF,Red Haori,Fire Sunglasses,Night,Red,Night,Canyon,City,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8048,Angry,-,Short Ponytail,DE02,DE02,-,-,Level2,Micrapple Tee,Talisman,Morning,Red,Morning,Canopy,-,Devrem,UnderReolm,-,-,Private,Sky + Scape
8049,Cat,+,LOREM Cap,HU02,-,-,-,Level1,Red Drive-Thru Shirt,Minimal Tattoos,Night,Purple,Night,Mother,City,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8050,Invert,Frantic,White Helmet,DR02,-,-,T,OFF,Red Vest,Butterflies,Evening,Black,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8051,Geisha,Porcelain Lips,Slick Back,DR01,-,-,-,Level3,Student Dress,Minimal Tattoos,Morning,Purple,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
8052,-,-,Grey Beanie,OR01,OR01,-,R,Level3,Dark Purple Suit,Skull Mask,Evening,Red,Sunkissed,-,-,Orcrem,UnderReolm,-,-,Private,-
8053,Wide,-,Red Bandana,UN03,UN03,-,C,Level1,Unbuttoned Student Shirt,Lightning Mask,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8054,Baka,Zigzag,Monk,OR01,OR01,-,-,Level2,Washed Denim Jacket,Crescent Earrings,Night,Red,Night,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8055,Smart,-,Lightning,EL01,EL01,-,R,OFF,Red Bear Tee,Lightning Mask,Evening,White,Evening,Mother,Park,Elvrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8056,Third Eye,Lipstick,Short Bangs,HU01,-,-,-,Level1,Argyle Sweater,Fire Sunglasses,Evening,Purple,Evening,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8057,Satisfied,Kiss,Short Bangs,DR01,-,-,R,Level2,Blue-Check Tee,Plasters,Evening,Red,Evening,Canopy,Temple,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8058,+ +,Droid,Slick Back,HU01,-,-,R,OFF,Red Swimsuit,Antenna,Night,White,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8059,Invert,Biting Tongue,Double Bun,DE03,DE03,-,T,Level3,Fire Shirt,Earpods,Evening,Red,Evening,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8060,Eh,Biting Lip,Low Braid,DR01,-,-,T,Level2,White Turtleneck,Golden Elf Ear Cuffs,Evening,Red,Evening,Stars,Dump,Droidrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8061,-,Smiling,Long Spike,HU02,-,-,T,Level5,Student Dress,90s Sunglasses,Night,Black,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8062,-,Frantic,Buzz,DE01,DE01,-,-,Level1,Rolled-Sleeve Tee,White Blindfold,Night,Purple,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8063,Shut,Lip Piercing,Cropped,HU01,-,-,-,Level4,Monk Beads,Butterflies,Afternoon,Red,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8064,60s,Shocked,Flat Top,DR01,-,-,-,OFF,Blue-Check Tee,-,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8065,Invert,Shocked,Red Bandana,OR03,OR03,-,R,Level5,LOREM White Tee,Butterfly Sunglasses,Afternoon,Purple,Afternoon,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8066,Wink,-,Red Bear Cap,UN03,UN03,-,C,OFF,Red Bear Race Suit,WAGMI Mask,Night,White,Night,Stars,-,Undrem,MiddleReolm,-,-,Private,Sky + Scape
8067,Shocked,-,Short Bob,EL01,EL01,-,T,OFF,80s Jacket,WAGMI Mask,Evening,Black,Evening,Mountain,Factory,Elvrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8068,-,F,Fire,OR02,OR02,-,-,Level4,Yellow Tee,Black Blindfold,Morning,White,Morning,-,-,Orcrem,UnderReolm,-,-,Private,Sky
8069,Curious,Cigarette,White Bucket Hat,DR02,-,-,R,Level3,Abstract Tee,Nosebleed Tissue,Afternoon,White,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8070,Naive,Um,Gradient Bob,DE02,DE02,-,-,Level2,Anti NFT NFT Club Hoodie,Round Glasses,Morning,Black,Morning,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8071,Sweet,F,Cropped,DR03,-,-,C,Level2,White Vest,Plaster,Morning,Red,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8072,Tricky,Dog,Dreadlocks,UN01,UN01,-,-,Level2,Blue Swimsuit,Heart Eye Patch,Night,Purple,Night,Skyscape,Factory,Undrem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8073,Dead,Kiss,Chignon,DR03,-,-,R,OFF,LOREM Black Tee,Minimal Tattoos,Evening,Red,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8074,Charming,-,Double Bun,EL01,EL01,-,T,Level1,Student Shirt,Black Mask,Evening,Black,Evening,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
8075,-,+,Red Bandana,UN01,UN01,-,-,OFF,Monk Beads,VR Headset,Evening,Black,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Sky
8076,Monk,Frog,-,BA01,-,-,T,Level2,-,-,Afternoon,Red,Afternoon,-,-,Forbidrem,ReReolm,-,-,Private,Sky
8077,-,Lip Piercings,Ponytail,DR02,-,-,T,Level2,Black Camisole,90s Sunglasses,Afternoon,Black,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8078,Panda,Blow,Two-Tone Middle Part,DR01,-,-,-,OFF,Red Bear Race Suit,-,Morning,Red,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8079,Angry,Animal,Jelly,EL01,EL01,-,C,Level5,Black Bodysuit,Earpods,Morning,Black,Morning,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
8080,Dizzy,Buck Teeth,White Knit Hat,HU03,-,-,-,Level2,Blue Cheongsam,Nose-to-Ear Chain,Afternoon,Black,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Sky
8081,Hehe,Lollipop,Cropped,DR01,-,-,-,Level1,White Vest,Stars Earrings,Morning,White,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8082,-,Lip Piercings,Elf,DE01,DE01,-,T,Level1,LOREM Black Tee,Trinoculars,Morning,Red,Morning,-,-,Devrem,UnderReolm,-,-,Private,Sky
8083,In Love,Naive,Chignon,DR01,-,-,R,Level2,STW.WTS Tee,Plaster,Morning,Purple,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8084,-,Tongue Out,Water,EL02,EL02,-,-,Level1,Red Puff Jacket,Interface Headset,Morning,Black,Morning,-,-,Elvrem,UnderReolm,-,-,Private,Gradient Sky
8085,Pixel,Um,High Braid,HU03,-,-,C,OFF,Red Bear Race Suit,Bullish Earrings,Morning,White,Morning,Castle,Park,Hurem,MiddleReolm,-,-,Private,Sky + Scape + Scene
8086,Shut,Blow,Buzz,DR02,-,-,C,Level5,Blue Track Jacket,Fire Sunglasses,Morning,White,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8087,Angry,Dot,Messy Bun,DR02,-,-,R,Level3,Student Shirt,Nosebleed Tissue,Afternoon,Black,Afternoon,-,Balcony,Droidrem,MiddleReolm,-,-,Private,Sky + Scene
8088,Bored,Happy,Elf,DE01,DE01,-,R,Level4,Cerd Club Hoodie,Eye Patch,Night,White,Night,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8089,-,Yummy,Long Layered,OR02,OR02,-,C,OFF,Washed Denim Jacket,Interface Headset,Night,Red,Night,Castle,Balcony,Orcrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8090,Frog,-,Undercut,DE02,DE02,-,R,Level2,Lightning Shirt,Ohayo Face Veil,Afternoon,Red,Afternoon,Castle,Temple,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8091,Wink,-,High Braid,UN01,UN01,-,C,Level2,Gasu Tee,Talisman,Morning,Red,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8092,Baka,Cat,Jelly,DR01,-,-,-,Level2,Black Turtleneck,Stars Earrings,Night,White,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8093,Charming,Um,White Bucket Hat,UN03,UN03,-,R,Level1,Bullish Jacket,Golden Fire Ear Cuff,Morning,Black,Morning,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8094,Invert,Star Stamp,Artificial Brain,HU02,-,-,-,OFF,Anti NFT NFT Club Hoodie,Minimal Tattoos,Morning,Black,Morning,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8095,Big,Biting Tongue,Dreadlocks Undercut,HU02,-,-,-,Level1,Stars Tee,Plaster,Afternoon,Red,Afternoon,Stars,-,Hurem,MiddleReolm,-,-,Private,Sky + Scape
8096,Closed,Chili Pepper,Earth,UN02,UN02,-,C,OFF,Red Tee,Minimal Tattoos,Night,White,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8097,In Love,Cigarette,Braids,DR01,-,-,T,OFF,Red Coat,Antenna,Evening,Red,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8098,Beautiful,Orc,Fire,DR03,-,-,R,Level4,Black Shirt,Hoop Earrings,Morning,Purple,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8099,Blink,Poo Poo,Elf,DR03,-,-,T,OFF,Argyle Sweater,Black Snake,Night,Black,Night,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8100,60s,Confident,Brown Military Watch Cap,GA03,GA03,GA03,T,Level1,90s Suit,Stars Earrings,Night,Purple,Night,-,-,Galarem,UpperReolm,-,-,Private,Gradient Sky
8101,Wink,-,Middle Part,UN01,UN01,-,C,Level1,Yellow Tee,Safety Mask,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8102,Dizzy,Lip Ring,Short Punk Mullet,DR02,-,-,T,Level2,Black Camisole,Golden Frame Glasses,Afternoon,Black,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
8103,Geisha,Meh,Fuzz,HU01,-,-,C,OFF,Yellow Camisole,Scars,Night,Purple,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8104,X X,Cat,Chignon,HU02,-,-,-,OFF,Op Art Turtleneck,Golden Safety Pin Earrings,Afternoon,Purple,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8105,X X,Dot,Head in the Clouds,UN02,UN02,-,R,Level3,Bullish Tank Top,Tiny Sunglasses,Evening,Purple,Evening,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8106,Yacky,Lip Piercing,LOREM Cap,UN03,UN03,-,-,OFF,Crimson Leather Jacket,Headphone,Night,Red,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8107,Sweet,Chili Pepper,Long,OR03,OR03,-,C,OFF,Two-Tone Tee,Freckles,Night,Purple,Night,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8108,Looking Down,Lip Piercings,-,BA02,-,-,-,Level2,-,-,Evening,Red,Evening,-,-,Forbidrem,ReReolm,-,-,Private,Sky
8109,Laughing,Buck Teeth,Two-Tone Middle Part,HU01,-,-,-,Level3,Two-Tone Tee,Stickers,Afternoon,White,Afternoon,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8110,Roremu,-,Brown Military Watch Cap,XA01,XA01,XA01,-,Level2,Blue Swimsuit,WAGMI Mask,Afternoon,White,Afternoon,Canopy,City,Xamrem,Reolmless,-,-,Private,Sky + Scape + Scene
8111,Dead,-,Long Layered,SO03,-,SO03,C,OFF,Red Coat,Ohayo Face Veil,Afternoon,White,Afternoon,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8112,-,Shocked,Blue Bandana,HU02,-,-,-,Level2,Student Shirt,Ancient Sunglasses,Night,White,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8113,+ +,Biting Lip,Jelly,SO02,-,SO02,-,Level4,Cloud Sweater,Minimal Tattoos,Night,Red,Night,-,-,Soulrem,UpperReolm,-,-,Private,Gradient Sky
8114,Frog,Swallowed Eye,Long Spike,DE03,DE03,-,T,Level2,Argyle Sweater,Plasters,Morning,Red,Morning,Mother,City,Devrem,UnderReolm,-,-,Private,Sky + Scape + Scene
8115,Eh,Tongue Piercing,-,BA02,-,-,R,Level1,-,-,Evening,Red,Evening,Canyon,City,Forbidrem,ReReolm,-,-,Private,Sky + Scape + Scene
8116,Dead,Bored,Yellow Cap,OR01,OR01,-,R,Level1,Black Vest,Plasters,Afternoon,Purple,Afternoon,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8117,Tricky,Droid,Red Bear Cap,OR02,OR02,-,T,OFF,Red Bear Race Suit,Golden Cross Earrings,Night,White,Night,-,-,Orcrem,UnderReolm,-,-,Private,Gradient Sky
8118,Naive,Star Stamp,Long Slick Back,SO01,-,SO01,R,Level5,Student Shirt,Round Glasses,Afternoon,Black,Afternoon,Valley,Factory,Soulrem,UpperReolm,-,-,Private,Sky + Scape + Scene
8119,Angry,Yummy,Drive-Thru Visor,OR01,OR01,-,-,Level4,Red Drive-Thru Shirt,Golden Frame Glasses,Evening,Red,Evening,-,-,Orcrem,UnderReolm,-,-,Private,Sky
8120,Third Eye,-,Two-Tone Middle Part,MI01,MI01,MI01,-,Level2,Argyle Sweater,Safety Mask,Night,White,Night,Valley,Outskirts,Mistian,Reolmless,-,-,Private,Sky + Scape + Scene
8121,Naive,F,Long,DE02,DE02,-,C,Level1,Gradient Tee,Golden Fire Ear Cuff,Evening,White,Evening,-,-,Devrem,UnderReolm,-,-,Private,Sky
8122,Monk,Orc,Long Slick Back,DE03,DE03,-,-,Level1,Red Bear Race Suit,Round Glasses,Afternoon,Purple,Afternoon,-,-,Devrem,UnderReolm,-,-,Private,Gradient Sky
8123,Wink,-,Blue Bandana,UN02,UN02,-,C,Level2,Stars Tee,Ohayo Face Veil,Night,Black,Night,-,-,Undrem,MiddleReolm,-,-,Private,Gradient Sky
8124,Geisha,Dot,Short Bob,DR01,-,-,-,Level3,Black Camisole,Pearls,Morning,White,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Sky
8125,-,Dog,Polka-Dot Sun Hat,DR01,-,-,C,Level5,Unbuttoned Two-Tone Shirt,White Blindfold,Afternoon,Purple,Afternoon,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8126,Wide,-,Brown Military Watch Cap,XA01,XA01,XA01,T,Level1,Fire Shirt,Safety Mask,Afternoon,White,Afternoon,-,-,Xamrem,Reolmless,-,-,Private,Sky
8127,Shocked,Biting Lip,Dreadlocks Undercut,HU03,-,-,-,OFF,Red Drive-Thru Shirt,Tiny Sunglasses,Night,Red,Night,-,-,Hurem,MiddleReolm,-,-,Private,Gradient Sky
8128,Dot,-,White Helmet,UN02,UN02,-,-,OFF,White Vest,Talisman,Night,White,Night,-,-,Undrem,MiddleReolm,-,-,Private,Sky
8129,Happy,Stitched,Drive-Thru Visor,GA01,GA01,GA01,-,Level1,Yellow Drive-Thru Shirt,Rocker Sunglasses,Evening,White,Evening,-,-,Galarem,UpperReolm,-,-,Private,Gradient Sky
8130,Rolling,Star Stamp,White Helmet,DR01,-,-,-,Level2,80s Jacket,Golden Safety Pin Earrings,Evening,Black,Evening,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
8131,Shut,Duck Face,Powered-Up,DR01,-,-,-,OFF,Gradient Tee,Clown Nose,Morning,White,Morning,-,-,Droidrem,MiddleReolm,-,-,Private,Gradient Sky
